Target,Random_1,Random_2,Random_3,Random_4,Random_5
dataset/toyota camry 1985 exterior/184e96f8fe.jpg,dataset/Toyota Corolla 1985 exterior sedan/1824eb4130.jpg,dataset/Lexus LS 2023 exterior/3f03d7a9d6.jpg,dataset/Volkswagan Jetta 2015 exterior/6d3c192897.jpg,dataset/Mazda Axela 2015 exterior sedan/92af68693c.jpg,dataset/Chevrolet Impala 2005 exterior/9900f320d6.jpg
dataset/toyota camry 1985 exterior/d7f22f0f55.jpg,dataset/Buick Regal 1988 exterior/638c518dcb.jpg,dataset/Volkswagan Jetta 1995 exterior/522c46c021.jpg,dataset/Hyundai Sonata 1995 exterior/75d790f0cc.jpg,dataset/Volkswagon Passat 2005 exterior/a3fa6f4280.jpg,dataset/Volkswagan Jetta 2015 exterior/968327a3f0.jpg
dataset/toyota camry 1985 exterior/efea4bc06a.jpg,dataset/Hyundai Elantra 1995 exterior/c2b08d884f.jpg,dataset/Chevrolet Impala 1985 exterior/963d8096ce.jpg,dataset/Mitsubishi Lancer 2005 exterior/d013f259ec.jpg,dataset/Mitsubishi Lancer 1988 exterior/1de177d967.jpg,dataset/Honda Accord 1985 exterior/e8088f7b76.jpg
dataset/toyota camry 1985 exterior/fda182e016.jpg,dataset/Mazda Axela 2023 exterior sedan/b970073350.jpg,dataset/Lexus LS 2023 exterior/21769d540d.jpg,dataset/Volkswagon Passat 2005 exterior/b73196b8ce.jpg,dataset/Mitsubishi Lancer 1988 exterior/d695e87d99.jpg,dataset/Chevrolet Malibu 2005 exterior/52fc02780d.jpg
dataset/toyota camry 1985 exterior/fcbf1688ca.jpg,dataset/Nissan Maxima 2015 exterior/2ff5b6ae96.jpg,dataset/Chevrolet Impala 2023 exterior/28127a5889.jpg,dataset/Buick Regal 2003 exterior/39cecabc32.jpg,dataset/Mazda Axela 2023 exterior sedan/9524db7d57.jpg,dataset/Dodge ChargerSRT 2015 exterior/05e7478132.jpg
dataset/toyota camry 1985 exterior/bf9006600e.jpg,dataset/Mitsubishi Lancer 1995 exterior/04696d3789.jpg,dataset/Mitsubishi Lancer 2005 exterior/069516398c.jpg,dataset/Chevrolet Impala 1985 exterior/a8795b740e.jpg,dataset/toyota camry 2005 exterior/c9a28e7619.jpg,dataset/Lexus LS 1989 exterior/fda56eb409.jpg
dataset/toyota camry 1985 exterior/ea31b7e3f8.jpg,dataset/Subaru Legacy 2023 exterior/5a1ec93317.jpg,dataset/Nissan Maxima 1995 exterior/caf0ecc5b1.jpg,dataset/Nissan Maxima 2023 exterior/f9fd9ff0fe.jpg,dataset/Mitsubishi Lancer 2023 exterior/41d114e128.jpg,dataset/BMW M3 Sedan 1995 exterior/42583a7200.jpg
dataset/toyota camry 1985 exterior/cadb50887a.jpg,dataset/toyota camry 2015 exterior/e14875e39b.jpg,dataset/Hyundai Sonata 1995 exterior/75d790f0cc.jpg,dataset/Hyundai Elantra 1995 exterior/4ad324c9a0.jpg,dataset/Hyundai Elantra 1995 exterior/c3dba53ae0.jpg,dataset/Buick Regal 2003 exterior/f5773d3dc6.jpg
dataset/toyota camry 1985 exterior/f91ed7bf0f.jpg,dataset/Honda Accord 1985 exterior/7e5a0b2fb1.jpg,dataset/Chevrolet Impala 1995 exterior/174247cdaf.jpg,dataset/Chevrolet Malibu 2015 exterior/8abd25125c.jpg,dataset/Kia Optima 2003 exterior/57c70c9985.jpg,dataset/Volkswagan Jetta 1995 exterior/1c543e256d.jpg
dataset/toyota camry 1985 exterior/53b72df08d.jpg,dataset/Honda Civic 1995 exterior/7c7f6b2aaa.jpg,dataset/Chevrolet Impala 2005 exterior/40c1a47291.jpg,dataset/Nissan Maxima 1990 exterior/461baa4c36.jpg,dataset/Volkswagon Passat 2005 exterior/b73196b8ce.jpg,dataset/Acura Integra 1995 exterior/de14c2d866.jpg
dataset/toyota camry 1985 exterior/94b227731d.jpg,dataset/BMW M3 Sedan 2023 exterior/b4f855c4fd.jpg,dataset/Hyundai Elantra 1995 exterior/c2b08d884f.jpg,dataset/Volkswagan Jetta 1985 exterior/87ad8baf49.jpg,dataset/toyota camry 1995 exterior/c458887874.jpg,dataset/Hyundai Sonata 1995 exterior/9089f53cee.jpg
