Target,Random_1,Random_2,Random_3,Random_4,Random_5
dataset/toyota camry 1985 exterior/184e96f8fe.jpg,dataset/Honda Accord 2005 exterior/60478d2345.jpg,dataset/Kia Optima 2015 exterior/8da34c7deb.jpg,dataset/Lexus LS 2023 exterior/21769d540d.jpg,dataset/Hyundai Elantra 2023 exterior/7428dd81f9.jpg,dataset/Nissan Maxima 2000 exterior/d11aa7aeb5.jpg
dataset/toyota camry 1985 exterior/d7f22f0f55.jpg,dataset/toyota camry 1985 exterior/53b72df08d.jpg,dataset/Volkswagan Jetta 2005 exterior/ca7139604e.jpg,dataset/Honda Civic 2023 exterior/f7786dc60f.jpg,dataset/Chevrolet Impala 1995 exterior/174247cdaf.jpg,dataset/Hyundai Elantra 1995 exterior/a379c10c6b.jpg
dataset/toyota camry 1985 exterior/efea4bc06a.jpg,dataset/BMW M3 Sedan 1995 exterior/564cb8d046.jpg,dataset/Volkswagon Passat 2023 exterior/54ec51a463.jpg,dataset/Acura Integra 1995 exterior/dae4c7b9fa.jpg,dataset/Honda Accord 1985 exterior/550414da75.jpg,dataset/Lexus LS 1995 exterior/bf8a79a47c.jpg
dataset/toyota camry 1985 exterior/fda182e016.jpg,dataset/BMW M3 Sedan 1988 exterior/a242555cb4.jpg,dataset/Acura Integra 2023 exterior/1299ce3f9e.jpg,dataset/Subaru Legacy 2023 exterior/97f0215ca0.jpg,dataset/Honda Accord 1995 exterior/60867cb8f6.jpg,dataset/Mazda Axela 2023 exterior sedan/52194a9328.jpg
dataset/toyota camry 1985 exterior/fcbf1688ca.jpg,dataset/Lexus LS 1995 exterior/995d6f22e1.jpg,dataset/Honda Civic 2023 exterior/16db6a1107.jpg,dataset/Hyundai Sonata 2005 exterior/baf90dd389.jpg,dataset/Dodge ChargerSRT 2015 exterior/cb9d8a7814.jpg,dataset/Volkswagon Passat 1995 exterior/c996f319e7.jpg
dataset/toyota camry 1985 exterior/bf9006600e.jpg,dataset/Volkswagon Passat 2023 exterior/42341ac616.jpg,dataset/Volkswagan Jetta 1985 exterior/ce08009500.jpg,dataset/Honda Accord 2005 exterior/e97ecfd33c.jpg,dataset/Buick Regal 1995 exterior/0a39e1106c.jpg,dataset/Toyota Corolla 2005 exterior sedan/04397e34fd.jpg
dataset/toyota camry 1985 exterior/ea31b7e3f8.jpg,dataset/Nissan Maxima 1995 exterior/25b1b16949.jpg,dataset/toyota camry 1995 exterior/b25485f33c.jpg,dataset/toyota camry 1995 exterior/11cf61aab3.jpg,dataset/Volkswagan Jetta 1995 exterior/5ecadea5e1.jpg,dataset/Subaru Legacy 1999 exterior/f53ee59d7a.jpg
dataset/toyota camry 1985 exterior/cadb50887a.jpg,dataset/Acura Integra 2005 exterior/ac8c671c34.jpg,dataset/Volkswagan Jetta 1985 exterior/3f89d34e9e.jpg,dataset/BMW M3 Sedan 1988 exterior/ddacd303be.jpg,dataset/Chevrolet Impala 2005 exterior/9b06da46b3.jpg,dataset/toyota camry 1995 exterior/15615d7438.jpg
dataset/toyota camry 1985 exterior/f91ed7bf0f.jpg,dataset/Hyundai Elantra 1995 exterior/d88f00e170.jpg,dataset/Honda Civic 2015 exterior/5846c7d2fa.jpg,dataset/Nissan Maxima 2000 exterior/b7f7f108a1.jpg,dataset/Mitsubishi Lancer 2015 exterior/a9f8032768.jpg,dataset/Chevrolet Impala 1995 exterior/50ff3e3b8e.jpg
dataset/toyota camry 1985 exterior/53b72df08d.jpg,dataset/Volkswagan Jetta 2023 exterior/4496cd7a00.jpg,dataset/Chevrolet Malibu 2005 exterior/560097da52.jpg,dataset/Mitsubishi Lancer 2005 exterior/1e2b57503a.jpg,dataset/Hyundai Sonata 1990 exterior/22081cd72c.jpg,dataset/Volkswagon Passat 1995 exterior/78ed9af5ab.jpg
dataset/toyota camry 1985 exterior/94b227731d.jpg,dataset/Honda Accord 2023 exterior/e648a42951.jpg,dataset/Hyundai Sonata 2015 exterior/bef014fc47.jpg,dataset/Chevrolet Malibu 2015 exterior/32a82e1994.jpg,dataset/Subaru Legacy 2005 exterior/f7a19a2c9d.jpg,dataset/Toyota Corolla 2005 exterior sedan/3099c6c8f5.jpg
